record_id,student_id,academic_year,term,school_id,level,class,record_date,academic_scores
11,S2410011,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 76,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 75,
""matematika"": 72,
""bahasa_inggris"": 78,
""fisika"": 73,
""kimia"": 73,
""biologi"": 70,
""sosiologi"": 79,
""ekonomi"": 76,
""geografi"": 71,
""pjok"": 76,
""informatika"": 75,
""seni_dan_prakarya"": 79
}"
12,S2410012,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 78,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 75,
""matematika"": 70,
""bahasa_inggris"": 76,
""fisika"": 74,
""kimia"": 74,
""biologi"": 76,
""sosiologi"": 71,
""ekonomi"": 72,
""geografi"": 78,
""pjok"": 78,
""informatika"": 73,
""seni_dan_prakarya"": 78
}"
13,S2410013,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 81,
""pendidikan_pancasila"": 77,
""bahasa_indonesia"": 77,
""matematika"": 71,
""bahasa_inggris"": 81,
""fisika"": 72,
""kimia"": 76,
""biologi"": 81,
""sosiologi"": 84,
""ekonomi"": 73,
""geografi"": 84,
""pjok"": 79,
""informatika"": 76,
""seni_dan_prakarya"": 88
}"
14,S2410014,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 85,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 76,
""matematika"": 76,
""bahasa_inggris"": 88,
""fisika"": 75,
""kimia"": 79,
""biologi"": 78,
""sosiologi"": 78,
""ekonomi"": 87,
""geografi"": 80,
""pjok"": 85,
""informatika"": 82,
""seni_dan_prakarya"": 90
}"
15,S2410015,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 80,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 76,
""matematika"": 77,
""bahasa_inggris"": 89,
""fisika"": 73,
""kimia"": 78,
""biologi"": 72,
""sosiologi"": 79,
""ekonomi"": 87,
""geografi"": 76,
""pjok"": 86,
""informatika"": 83,
""seni_dan_prakarya"": 94
}"
16,S2410016,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 82,
""pendidikan_pancasila"": 75,
""bahasa_indonesia"": 73,
""matematika"": 73,
""bahasa_inggris"": 80,
""fisika"": 75,
""kimia"": 77,
""biologi"": 73,
""sosiologi"": 82,
""ekonomi"": 70,
""geografi"": 74,
""pjok"": 85,
""informatika"": 77,
""seni_dan_prakarya"": 77
}"
17,S2410017,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 81,
""pendidikan_pancasila"": 81,
""bahasa_indonesia"": 80,
""matematika"": 71,
""bahasa_inggris"": 83,
""fisika"": 78,
""kimia"": 81,
""biologi"": 70,
""sosiologi"": 79,
""ekonomi"": 70,
""geografi"": 81,
""pjok"": 81,
""informatika"": 77,
""seni_dan_prakarya"": 91
}"
18,S2410018,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 94,
""pendidikan_pancasila"": 92,
""bahasa_indonesia"": 87,
""matematika"": 85,
""bahasa_inggris"": 88,
""fisika"": 77,
""kimia"": 85,
""biologi"": 70,
""sosiologi"": 95,
""ekonomi"": 84,
""geografi"": 74,
""pjok"": 93,
""informatika"": 87,
""seni_dan_prakarya"": 95
}"
19,S2410019,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 76,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 75,
""matematika"": 76,
""bahasa_inggris"": 91,
""fisika"": 77,
""kimia"": 71,
""biologi"": 73,
""sosiologi"": 78,
""ekonomi"": 71,
""geografi"": 79,
""pjok"": 73,
""informatika"": 84,
""seni_dan_prakarya"": 74
}"
20,S2410020,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 84,
""pendidikan_pancasila"": 80,
""bahasa_indonesia"": 82,
""matematika"": 74,
""bahasa_inggris"": 83,
""fisika"": 79,
""kimia"": 70,
""biologi"": 78,
""sosiologi"": 86,
""ekonomi"": 75,
""geografi"": 79,
""pjok"": 86,
""informatika"": 79,
""seni_dan_prakarya"": 81
}"
21,S2410021,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 77,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 76,
""matematika"": 70,
""bahasa_inggris"": 93,
""fisika"": 76,
""kimia"": 77,
""biologi"": 73,
""sosiologi"": 71,
""ekonomi"": 82,
""geografi"": 77,
""pjok"": 80,
""informatika"": 82,
""seni_dan_prakarya"": 74
}"
22,S2410022,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 77,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 82,
""matematika"": 95,
""bahasa_inggris"": 96,
""fisika"": 86,
""kimia"": 88,
""biologi"": 81,
""sosiologi"": 75,
""ekonomi"": 84,
""geografi"": 72,
""pjok"": 89,
""informatika"": 96,
""seni_dan_prakarya"": 92
}"
23,S2410023,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 86,
""pendidikan_pancasila"": 87,
""bahasa_indonesia"": 83,
""matematika"": 81,
""bahasa_inggris"": 98,
""fisika"": 77,
""kimia"": 73,
""biologi"": 76,
""sosiologi"": 72,
""ekonomi"": 87,
""geografi"": 81,
""pjok"": 84,
""informatika"": 90,
""seni_dan_prakarya"": 92
}"
24,S2410024,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 76,
""pendidikan_pancasila"": 74,
""bahasa_indonesia"": 75,
""matematika"": 70,
""bahasa_inggris"": 76,
""fisika"": 70,
""kimia"": 73,
""biologi"": 72,
""sosiologi"": 70,
""ekonomi"": 72,
""geografi"": 78,
""pjok"": 75,
""informatika"": 73,
""seni_dan_prakarya"": 83
}"
25,S2410025,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 89,
""pendidikan_pancasila"": 85,
""bahasa_indonesia"": 76,
""matematika"": 80,
""bahasa_inggris"": 90,
""fisika"": 81,
""kimia"": 75,
""biologi"": 78,
""sosiologi"": 87,
""ekonomi"": 83,
""geografi"": 70,
""pjok"": 86,
""informatika"": 85,
""seni_dan_prakarya"": 74
}"
26,S2410026,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 82,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 77,
""matematika"": 76,
""bahasa_inggris"": 94,
""fisika"": 81,
""kimia"": 75,
""biologi"": 80,
""sosiologi"": 81,
""ekonomi"": 79,
""geografi"": 81,
""pjok"": 81,
""informatika"": 85,
""seni_dan_prakarya"": 82
}"
27,S2410027,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 83,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 77,
""matematika"": 75,
""bahasa_inggris"": 90,
""fisika"": 73,
""kimia"": 72,
""biologi"": 76,
""sosiologi"": 73,
""ekonomi"": 80,
""geografi"": 74,
""pjok"": 87,
""informatika"": 83,
""seni_dan_prakarya"": 91
}"
28,S2410028,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 82,
""pendidikan_pancasila"": 86,
""bahasa_indonesia"": 81,
""matematika"": 76,
""bahasa_inggris"": 78,
""fisika"": 77,
""kimia"": 74,
""biologi"": 83,
""sosiologi"": 76,
""ekonomi"": 86,
""geografi"": 84,
""pjok"": 83,
""informatika"": 77,
""seni_dan_prakarya"": 75
}"
29,S2410029,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 91,
""pendidikan_pancasila"": 91,
""bahasa_indonesia"": 87,
""matematika"": 91,
""bahasa_inggris"": 91,
""fisika"": 76,
""kimia"": 79,
""biologi"": 82,
""sosiologi"": 79,
""ekonomi"": 93,
""geografi"": 79,
""pjok"": 82,
""informatika"": 91,
""seni_dan_prakarya"": 99
}"
30,S2410030,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 89,
""pendidikan_pancasila"": 89,
""bahasa_indonesia"": 77,
""matematika"": 70,
""bahasa_inggris"": 75,
""fisika"": 70,
""kimia"": 79,
""biologi"": 73,
""sosiologi"": 75,
""ekonomi"": 84,
""geografi"": 70,
""pjok"": 84,
""informatika"": 73,
""seni_dan_prakarya"": 77
}"
31,S2410031,2024/2025,Term 1,A01,10,10A,2024-10-25,"{
""pendidikan_agama"": 73,
""pendidikan_pancasila"": 70,
""bahasa_indonesia"": 74,
""matematika"": 70,
""bahasa_inggris"": 73,
""fisika"": 73,
""kimia"": 72,
""biologi"": 75,
""sosiologi"": 80,
""ekonomi"": 82,
""geografi"": 70,
""pjok"": 75,
""informatika"": 72,
""seni_dan_prakarya"": 74
}"
32,S2410032,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 80,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 80,
""matematika"": 72,
""bahasa_inggris"": 87,
""fisika"": 83,
""kimia"": 78,
""biologi"": 75,
""sosiologi"": 78,
""ekonomi"": 74,
""geografi"": 80,
""pjok"": 77,
""informatika"": 80,
""seni_dan_prakarya"": 88
}"
33,S2410033,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 87,
""pendidikan_pancasila"": 83,
""bahasa_indonesia"": 81,
""matematika"": 81,
""bahasa_inggris"": 77,
""fisika"": 81,
""kimia"": 70,
""biologi"": 83,
""sosiologi"": 78,
""ekonomi"": 85,
""geografi"": 77,
""pjok"": 85,
""informatika"": 79,
""seni_dan_prakarya"": 90
}"
34,S2410034,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 88,
""pendidikan_pancasila"": 86,
""bahasa_indonesia"": 79,
""matematika"": 72,
""bahasa_inggris"": 89,
""fisika"": 72,
""kimia"": 82,
""biologi"": 75,
""sosiologi"": 70,
""ekonomi"": 81,
""geografi"": 81,
""pjok"": 82,
""informatika"": 81,
""seni_dan_prakarya"": 95
}"
35,S2410035,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 80,
""pendidikan_pancasila"": 74,
""bahasa_indonesia"": 78,
""matematika"": 77,
""bahasa_inggris"": 76,
""fisika"": 72,
""kimia"": 70,
""biologi"": 71,
""sosiologi"": 78,
""ekonomi"": 70,
""geografi"": 72,
""pjok"": 81,
""informatika"": 77,
""seni_dan_prakarya"": 76
}"
36,S2410036,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 84,
""pendidikan_pancasila"": 80,
""bahasa_indonesia"": 80,
""matematika"": 71,
""bahasa_inggris"": 76,
""fisika"": 75,
""kimia"": 74,
""biologi"": 71,
""sosiologi"": 87,
""ekonomi"": 72,
""geografi"": 83,
""pjok"": 85,
""informatika"": 74,
""seni_dan_prakarya"": 78
}"
37,S2410037,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 78,
""pendidikan_pancasila"": 73,
""bahasa_indonesia"": 75,
""matematika"": 71,
""bahasa_inggris"": 74,
""fisika"": 72,
""kimia"": 71,
""biologi"": 73,
""sosiologi"": 80,
""ekonomi"": 77,
""geografi"": 82,
""pjok"": 78,
""informatika"": 73,
""seni_dan_prakarya"": 76
}"
38,S2410038,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 81,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 75,
""matematika"": 70,
""bahasa_inggris"": 74,
""fisika"": 74,
""kimia"": 71,
""biologi"": 71,
""sosiologi"": 70,
""ekonomi"": 73,
""geografi"": 78,
""pjok"": 73,
""informatika"": 72,
""seni_dan_prakarya"": 74
}"
39,S2410039,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 76,
""pendidikan_pancasila"": 79,
""bahasa_indonesia"": 74,
""matematika"": 74,
""bahasa_inggris"": 86,
""fisika"": 77,
""kimia"": 79,
""biologi"": 76,
""sosiologi"": 72,
""ekonomi"": 75,
""geografi"": 78,
""pjok"": 83,
""informatika"": 80,
""seni_dan_prakarya"": 84
}"
40,S2410040,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 89,
""pendidikan_pancasila"": 88,
""bahasa_indonesia"": 80,
""matematika"": 80,
""bahasa_inggris"": 91,
""fisika"": 82,
""kimia"": 73,
""biologi"": 80,
""sosiologi"": 76,
""ekonomi"": 73,
""geografi"": 90,
""pjok"": 84,
""informatika"": 86,
""seni_dan_prakarya"": 90
}"
41,S2410041,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 75,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 77,
""matematika"": 70,
""bahasa_inggris"": 78,
""fisika"": 70,
""kimia"": 74,
""biologi"": 72,
""sosiologi"": 71,
""ekonomi"": 76,
""geografi"": 72,
""pjok"": 72,
""informatika"": 74,
""seni_dan_prakarya"": 74
}"
42,S2410042,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 73,
""pendidikan_pancasila"": 74,
""bahasa_indonesia"": 75,
""matematika"": 70,
""bahasa_inggris"": 81,
""fisika"": 77,
""kimia"": 75,
""biologi"": 70,
""sosiologi"": 71,
""ekonomi"": 79,
""geografi"": 70,
""pjok"": 78,
""informatika"": 76,
""seni_dan_prakarya"": 74
}"
43,S2410043,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 74,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 76,
""matematika"": 72,
""bahasa_inggris"": 83,
""fisika"": 72,
""kimia"": 75,
""biologi"": 71,
""sosiologi"": 71,
""ekonomi"": 78,
""geografi"": 70,
""pjok"": 72,
""informatika"": 78,
""seni_dan_prakarya"": 82
}"
44,S2410044,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 84,
""pendidikan_pancasila"": 88,
""bahasa_indonesia"": 86,
""matematika"": 84,
""bahasa_inggris"": 84,
""fisika"": 83,
""kimia"": 74,
""biologi"": 72,
""sosiologi"": 81,
""ekonomi"": 70,
""geografi"": 74,
""pjok"": 83,
""informatika"": 84,
""seni_dan_prakarya"": 86
}"
45,S2410045,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 77,
""pendidikan_pancasila"": 74,
""bahasa_indonesia"": 76,
""matematika"": 70,
""bahasa_inggris"": 87,
""fisika"": 76,
""kimia"": 73,
""biologi"": 78,
""sosiologi"": 76,
""ekonomi"": 78,
""geografi"": 78,
""pjok"": 80,
""informatika"": 79,
""seni_dan_prakarya"": 76
}"
46,S2410046,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 83,
""pendidikan_pancasila"": 84,
""bahasa_indonesia"": 81,
""matematika"": 70,
""bahasa_inggris"": 76,
""fisika"": 75,
""kimia"": 75,
""biologi"": 78,
""sosiologi"": 77,
""ekonomi"": 83,
""geografi"": 76,
""pjok"": 76,
""informatika"": 73,
""seni_dan_prakarya"": 80
}"
47,S2410047,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 75,
""pendidikan_pancasila"": 73,
""bahasa_indonesia"": 70,
""matematika"": 70,
""bahasa_inggris"": 75,
""fisika"": 77,
""kimia"": 76,
""biologi"": 73,
""sosiologi"": 79,
""ekonomi"": 81,
""geografi"": 75,
""pjok"": 75,
""informatika"": 73,
""seni_dan_prakarya"": 72
}"
48,S2410048,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 97,
""pendidikan_pancasila"": 89,
""bahasa_indonesia"": 84,
""matematika"": 78,
""bahasa_inggris"": 89,
""fisika"": 76,
""kimia"": 70,
""biologi"": 80,
""sosiologi"": 77,
""ekonomi"": 71,
""geografi"": 81,
""pjok"": 82,
""informatika"": 84,
""seni_dan_prakarya"": 84
}"
49,S2410049,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 75,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 74,
""matematika"": 70,
""bahasa_inggris"": 79,
""fisika"": 72,
""kimia"": 74,
""biologi"": 73,
""sosiologi"": 72,
""ekonomi"": 71,
""geografi"": 72,
""pjok"": 76,
""informatika"": 75,
""seni_dan_prakarya"": 73
}"
50,S2410050,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 89,
""pendidikan_pancasila"": 85,
""bahasa_indonesia"": 86,
""matematika"": 91,
""bahasa_inggris"": 96,
""fisika"": 80,
""kimia"": 74,
""biologi"": 89,
""sosiologi"": 88,
""ekonomi"": 71,
""geografi"": 83,
""pjok"": 90,
""informatika"": 94,
""seni_dan_prakarya"": 89
}"
51,S2410051,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 76,
""pendidikan_pancasila"": 73,
""bahasa_indonesia"": 76,
""matematika"": 71,
""bahasa_inggris"": 81,
""fisika"": 74,
""kimia"": 75,
""biologi"": 71,
""sosiologi"": 70,
""ekonomi"": 72,
""geografi"": 75,
""pjok"": 73,
""informatika"": 76,
""seni_dan_prakarya"": 75
}"
52,S2410052,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 89,
""pendidikan_pancasila"": 87,
""bahasa_indonesia"": 80,
""matematika"": 77,
""bahasa_inggris"": 94,
""fisika"": 82,
""kimia"": 71,
""biologi"": 80,
""sosiologi"": 77,
""ekonomi"": 72,
""geografi"": 86,
""pjok"": 83,
""informatika"": 86,
""seni_dan_prakarya"": 86
}"
53,S2410053,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 90,
""pendidikan_pancasila"": 87,
""bahasa_indonesia"": 85,
""matematika"": 82,
""bahasa_inggris"": 90,
""fisika"": 80,
""kimia"": 76,
""biologi"": 71,
""sosiologi"": 89,
""ekonomi"": 76,
""geografi"": 83,
""pjok"": 81,
""informatika"": 86,
""seni_dan_prakarya"": 85
}"
54,S2410054,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 86,
""pendidikan_pancasila"": 86,
""bahasa_indonesia"": 83,
""matematika"": 83,
""bahasa_inggris"": 94,
""fisika"": 84,
""kimia"": 88,
""biologi"": 79,
""sosiologi"": 74,
""ekonomi"": 87,
""geografi"": 88,
""pjok"": 82,
""informatika"": 89,
""seni_dan_prakarya"": 91
}"
55,S2410055,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 87,
""pendidikan_pancasila"": 83,
""bahasa_indonesia"": 86,
""matematika"": 81,
""bahasa_inggris"": 95,
""fisika"": 81,
""kimia"": 78,
""biologi"": 79,
""sosiologi"": 73,
""ekonomi"": 74,
""geografi"": 87,
""pjok"": 85,
""informatika"": 88,
""seni_dan_prakarya"": 92
}"
56,S2410056,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 92,
""pendidikan_pancasila"": 88,
""bahasa_indonesia"": 83,
""matematika"": 74,
""bahasa_inggris"": 90,
""fisika"": 73,
""kimia"": 71,
""biologi"": 73,
""sosiologi"": 72,
""ekonomi"": 86,
""geografi"": 92,
""pjok"": 89,
""informatika"": 82,
""seni_dan_prakarya"": 88
}"
57,S2410057,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 77,
""pendidikan_pancasila"": 75,
""bahasa_indonesia"": 77,
""matematika"": 78,
""bahasa_inggris"": 74,
""fisika"": 70,
""kimia"": 72,
""biologi"": 78,
""sosiologi"": 73,
""ekonomi"": 72,
""geografi"": 71,
""pjok"": 82,
""informatika"": 76,
""seni_dan_prakarya"": 78
}"
58,S2410058,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 78,
""pendidikan_pancasila"": 71,
""bahasa_indonesia"": 77,
""matematika"": 70,
""bahasa_inggris"": 74,
""fisika"": 76,
""kimia"": 73,
""biologi"": 73,
""sosiologi"": 72,
""ekonomi"": 78,
""geografi"": 81,
""pjok"": 72,
""informatika"": 72,
""seni_dan_prakarya"": 75
}"
59,S2410059,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 74,
""pendidikan_pancasila"": 72,
""bahasa_indonesia"": 75,
""matematika"": 70,
""bahasa_inggris"": 73,
""fisika"": 70,
""kimia"": 72,
""biologi"": 75,
""sosiologi"": 74,
""ekonomi"": 75,
""geografi"": 77,
""pjok"": 82,
""informatika"": 72,
""seni_dan_prakarya"": 80
}"
60,S2410060,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 84,
""pendidikan_pancasila"": 81,
""bahasa_indonesia"": 80,
""matematika"": 76,
""bahasa_inggris"": 85,
""fisika"": 73,
""kimia"": 80,
""biologi"": 83,
""sosiologi"": 85,
""ekonomi"": 90,
""geografi"": 77,
""pjok"": 74,
""informatika"": 81,
""seni_dan_prakarya"": 85
}"
61,S2410061,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 84,
""pendidikan_pancasila"": 76,
""bahasa_indonesia"": 78,
""matematika"": 79,
""bahasa_inggris"": 91,
""fisika"": 73,
""kimia"": 75,
""biologi"": 76,
""sosiologi"": 75,
""ekonomi"": 88,
""geografi"": 79,
""pjok"": 83,
""informatika"": 85,
""seni_dan_prakarya"": 95
}"
62,S2410062,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 90,
""pendidikan_pancasila"": 87,
""bahasa_indonesia"": 84,
""matematika"": 75,
""bahasa_inggris"": 92,
""fisika"": 73,
""kimia"": 79,
""biologi"": 75,
""sosiologi"": 70,
""ekonomi"": 84,
""geografi"": 72,
""pjok"": 79,
""informatika"": 84,
""seni_dan_prakarya"": 86
}"
63,S2410063,2024/2025,Term 1,A01,10,10B,2024-10-25,"{
""pendidikan_agama"": 90,
""pendidikan_pancasila"": 89,
""bahasa_indonesia"": 79,
""matematika"": 76,
""bahasa_inggris"": 79,
""fisika"": 76,
""kimia"": 70,
""biologi"": 83,
""sosiologi"": 72,
""ekonomi"": 93,
""geografi"": 80,
""pjok"": 87,
""informatika"": 78,
""seni_dan_prakarya"": 89
}"
64,S2410064,2024/2025,Term 1,A01,10,10C,2024-10-25,"{
""pendidikan_agama"": 95,
""pendidikan_pancasila"": 92,
""bahasa_indonesia"": 90,
""matematika"": 84,
""bahasa_inggris"": 91,
""fisika"": 71,
""kimia"": 85,
""biologi"": 71,
""sosiologi"": 89,
""ekonomi"": 75,
""geografi"": 70,
""pjok"": 90,
""informatika"": 88,
""seni_dan_prakarya"": 94
}"
65,S2410065,2024/2025,Term 1,A01,10,10C,2024-10-25,"{
""pendidikan_agama"": 87,
""pendidikan_pancasila"": 86,
""bahasa_indonesia"": 86,
""matematika"": 73,
""bahasa_inggris"": 83,
""fisika"": 77,
""kimia"": 81,
""biologi"": 82,
""sosiologi"": 83,
""ekonomi"": 73,
""geografi"": 80,
""pjok"": 86,
""informatika"": 78,
""seni_dan_prakarya"": 89
}"
